,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
113,2736931,21,1.61904761905,72,0.0001&&0.0014&&0.0066&&0.0203&&3.0886&&22.7049&&0.0025&&0.0211&&0.2134&&0.0494&&4.0167&&2.9153&&0.0056&&0.9402&&1.1437&&1.2922&&0.6690&&2.8706&&0.2281&&0.9468&&3.2712&&2.4881&&1.2225&&4.1316&&3.7943&&1.9782&&12.0370&&0.0180&&20.9562&&0.0022&&0.3520&&7.5797&&1.0676&&,0.818181818182,82.3529411765,4,34,0,1607.64705882,0.0,0
114,2749441,5,1.0,295,1.1518&&7.1967&&0.0145&&40.8351&&,0.5,100.0,0,5,0,1468.4,0.0,0
115,2712048,9,1.22222222222,107,2.9792&&0.0340&&4.0737&&0.6612&&1.2158&&8.5102&&0.0702&&0.0105&&12.2697&&15.1452&&,0.6,72.7272727273,3,11,0,1425.27272727,0.454545454545,0
116,2691627,19,0.421052631579,380,7.1565&&5.7881&&55.0072&&0.0719&&22.1200&&20.7532&&0.0451&&,0.285714285714,37.5,4,8,0,929.5,0.375,0
117,2690224,24,0.375,296,0.1640&&1.4105&&0.0198&&3.3740&&0.0124&&0.1289&&0.0154&&93.5417&&,0.875,55.5555555556,3,9,0,1060.66666667,0.444444444444,0
118,2729160,27,0.407407407407,148,41.0256&&2.0702&&4.8987&&0.0044&&8.9490&&0.0204&&0.0319&&0.0223&&0.1175&&4.7358&&,0.6,63.6363636364,3,11,0,1267.36363636,0.0909090909091,0
119,2633450,2,2.5,389,-0.0000&&0.0021&&0.0024&&64.9567&&,0.75,0.0,2,5,0,1129.4,0.0,0
120,2648830,9,0.777777777778,217,1.1035&&0.1556&&0.0895&&5.6229&&15.1109&&32.1760&&,0.5,0.0,4,7,0,1508.0,0.142857142857,0
121,2679076,19,0.263157894737,370,26.7811&&7.1658&&0.0013&&27.8154&&,0.25,80.0,1,5,0,1482.6,0.0,0
122,2647604,7,2.14285714286,181,0.0074&&0.0036&&0.0061&&0.0066&&0.0338&&0.0026&&0.5300&&0.0194&&0.0085&&104.1835&&0.0038&&0.0143&&0.0027&&1.2146&&,0.928571428571,100.0,0,15,0,1560.06666667,0.133333333333,0
